date,engine,prompt_id,prompt,agency_appeared (Y/N),agency_cited (Y/N),agency_url_cited,competitors_appeared,competitor_urls,claim_cited,format_cited (article/service/case study/other),what_competitor_has_that_we_dont,action
,ChatGPT Search,P1,How do HVAC companies rank higher on Google Maps?,,,,,,,,,
,ChatGPT Search,P2,Best Google Maps SEO strategy for plumbers,,,,,,,,,
,ChatGPT Search,P3,How does Google Maps SEO work?,,,,,,,,,
,ChatGPT Search,P4,Does website SEO affect Google Maps?,,,,,,,,,
,ChatGPT Search,P5,Is Google LSA worth it for HVAC?,,,,,,,,,
,ChatGPT Search,P6,Why isn't my LSA spending?,,,,,,,,,
,ChatGPT Search,P7,How do I improve my LSA ranking?,,,,,,,,,
,ChatGPT Search,P8,Google Maps SEO vs LSA,,,,,,,,,
,ChatGPT Search,P9,Should HVAC companies use Maps SEO and LSA together?,,,,,,,,,
,ChatGPT Search,P10,How much should plumbers spend on LSA?,,,,,,,,,
,ChatGPT Search,P11,How do tree-service companies get more Google calls?,,,,,,,,,
,ChatGPT Search,P12,Best Google Maps SEO companies for home services,,,,,,,,,
,Google AI Mode,P1,How do HVAC companies rank higher on Google Maps?,,,,,,,,,
,Google AI Mode,P2,Best Google Maps SEO strategy for plumbers,,,,,,,,,
,Google AI Mode,P3,How does Google Maps SEO work?,,,,,,,,,
,Google AI Mode,P4,Does website SEO affect Google Maps?,,,,,,,,,
,Google AI Mode,P5,Is Google LSA worth it for HVAC?,,,,,,,,,
,Google AI Mode,P6,Why isn't my LSA spending?,,,,,,,,,
,Google AI Mode,P7,How do I improve my LSA ranking?,,,,,,,,,
,Google AI Mode,P8,Google Maps SEO vs LSA,,,,,,,,,
,Google AI Mode,P9,Should HVAC companies use Maps SEO and LSA together?,,,,,,,,,
,Google AI Mode,P10,How much should plumbers spend on LSA?,,,,,,,,,
,Google AI Mode,P11,How do tree-service companies get more Google calls?,,,,,,,,,
,Google AI Mode,P12,Best Google Maps SEO companies for home services,,,,,,,,,
,Google AI Overviews,P1,How do HVAC companies rank higher on Google Maps?,,,,,,,,,
,Google AI Overviews,P2,Best Google Maps SEO strategy for plumbers,,,,,,,,,
,Google AI Overviews,P3,How does Google Maps SEO work?,,,,,,,,,
,Google AI Overviews,P4,Does website SEO affect Google Maps?,,,,,,,,,
,Google AI Overviews,P5,Is Google LSA worth it for HVAC?,,,,,,,,,
,Google AI Overviews,P6,Why isn't my LSA spending?,,,,,,,,,
,Google AI Overviews,P7,How do I improve my LSA ranking?,,,,,,,,,
,Google AI Overviews,P8,Google Maps SEO vs LSA,,,,,,,,,
,Google AI Overviews,P9,Should HVAC companies use Maps SEO and LSA together?,,,,,,,,,
,Google AI Overviews,P10,How much should plumbers spend on LSA?,,,,,,,,,
,Google AI Overviews,P11,How do tree-service companies get more Google calls?,,,,,,,,,
,Google AI Overviews,P12,Best Google Maps SEO companies for home services,,,,,,,,,
,Copilot,P1,How do HVAC companies rank higher on Google Maps?,,,,,,,,,
,Copilot,P2,Best Google Maps SEO strategy for plumbers,,,,,,,,,
,Copilot,P3,How does Google Maps SEO work?,,,,,,,,,
,Copilot,P4,Does website SEO affect Google Maps?,,,,,,,,,
,Copilot,P5,Is Google LSA worth it for HVAC?,,,,,,,,,
,Copilot,P6,Why isn't my LSA spending?,,,,,,,,,
,Copilot,P7,How do I improve my LSA ranking?,,,,,,,,,
,Copilot,P8,Google Maps SEO vs LSA,,,,,,,,,
,Copilot,P9,Should HVAC companies use Maps SEO and LSA together?,,,,,,,,,
,Copilot,P10,How much should plumbers spend on LSA?,,,,,,,,,
,Copilot,P11,How do tree-service companies get more Google calls?,,,,,,,,,
,Copilot,P12,Best Google Maps SEO companies for home services,,,,,,,,,
,Perplexity,P1,How do HVAC companies rank higher on Google Maps?,,,,,,,,,
,Perplexity,P2,Best Google Maps SEO strategy for plumbers,,,,,,,,,
,Perplexity,P3,How does Google Maps SEO work?,,,,,,,,,
,Perplexity,P4,Does website SEO affect Google Maps?,,,,,,,,,
,Perplexity,P5,Is Google LSA worth it for HVAC?,,,,,,,,,
,Perplexity,P6,Why isn't my LSA spending?,,,,,,,,,
,Perplexity,P7,How do I improve my LSA ranking?,,,,,,,,,
,Perplexity,P8,Google Maps SEO vs LSA,,,,,,,,,
,Perplexity,P9,Should HVAC companies use Maps SEO and LSA together?,,,,,,,,,
,Perplexity,P10,How much should plumbers spend on LSA?,,,,,,,,,
,Perplexity,P11,How do tree-service companies get more Google calls?,,,,,,,,,
,Perplexity,P12,Best Google Maps SEO companies for home services,,,,,,,,,
